"source","target"
"nightone.phoneguy.linetwentyfive","wenn die Anzüge selbst nicht mit Traversen, Drähte und animatronischen Geräten,"
"nightone.phoneguy.linetwentysix","vor allem um den Gesichtsbereich gefüllt wären. Also, du könntest dir vorstellen dass das gewaltsame Reindrücken"
"nightone.phoneguy.linetwentyseven","von deinem Kopf in einen von diesen Dingern ein bisschen unangenehm sein könnte... und den Tod verursachen könnte."
"nightone.phoneguy.linetwentyheight","Ähhm, die einzigen deiner Teile die höchstwahrscheinlich wieder das Licht der Welt sehen könnten, wären deine Augäpfel"
"nightone.phoneguy.linetwentynine","und Zähne wenn sie vorne an der Maske herausspringen, heh."
"nightone.phoneguy.linethirty","J-Jaaa, sie erzählen einem nicht von diesen Sachen wenn Jemand sich anmeldet. Aber hey, der erste Tag sollte ein Kinderspiel sein."
"nightone.phoneguy.linethirtyone","Ich werde morgen mit dir plaudern. Ähhm, checke diese Kameras, und denk dran die Türen nur zu schließen"
"nightone.phoneguy.linethirtytwo","wenn es absolut notwendig ist. Muss Strom sparen. Alles klar, gute Nacht."
"nighttwo.phoneguy.lineone","Ähhm, Hallo? Hallo? Ähhm, nun, wenn du das hier hörst und es zum zweiten Tag geschafft hast, Ähhm, Glückwunsch!"
"nighttwo.phoneguy.linetwo","I-Ich werde diesmal nicht so lange reden weil Freddy und seine Freunde dazu tendieren während der Woche aktiver zu werden."
"nighttwo.phoneguy.linethree","Ähhm, es wäre eine gute Idee einen Blick auf den Kameras zu werfen während ich rede"
"nighttwo.phoneguy.linefour","einfach nur um sicher zu sein, dass jeder an seinem richtigen Ort ist. Weißte..."
"nighttwo.phoneguy.linefive","Ähhm... interessanterweise kommt Freddy selbst nicht sehr oft von der Bühne."
"nighttwo.phoneguy.linesix","Ich habe gehört dass er sehr viel aktiver wird wenn es dunkel wird, also, hey,"
"nighttwo.phoneguy.lineseven","Denke mal dass dies noch ein Grund ist dass der Strom nicht auslaufen sollte, richtig?"
"nighttwo.phoneguy.lineheight","I-Ich wollte auch die Wichtigkeit der Benutzung deiner Türleuchten betonen."
"nighttwo.phoneguy.linenine","Es gibt tote Winkel in deinen Kameraansichten, und diese toten Winkel befinden sich direkt vor deinen Türen."
"nighttwo.phoneguy.lineten","Also we-wenn du irgendetwas, oder irgendjemanden auf deinen Kameras nicht finden kannst, dann solltest du sicher mal deine Türleuchten checken."
"nighttwo.phoneguy.lineeleven","Ähhm, du könntest nur ein paar Sekunden zum Reagieren haben... Ähhm, nicht dass du in irgendeiner Gefahr wärst, natürlich."
"nighttwo.phoneguy.linetwelve","Das unterstelle ich nicht. Ach ja, checke ab und zu den Vorhang in der Piratenbucht."
"nighttwo.phoneguy.linethirteen","Die Figur dort drinnen scheint besonders zu sein. Er wird aktiver wenn die Kameras für längere Zeiten ausgeschaltet sind."
"nighttwo.phoneguy.linefourteen","Ich denke mal dass er es nicht mag, angesehen zu werden. Ich weiß nicht."
"nighttwo.phoneguy.linefifteen","Jedenfalls, Ich bin mir sicher dass du alles unter Kontrolle hast! Ähhm, bis bald."
"nighthree.phoneguy.lineone","Hallo, hallo? Hey, du bist Großartig! Die meisten Leute schaffen es nicht so weit."
"nighthree.phoneguy.linetwo","Ich meine, du weißt, sie gehen normalerweise zu größeren Dingen. Ich behaupte nicht, dass sie gestorben sind."
"nighthree.phoneguy.linethree","Da-Da-Das ist nicht was ich gemeint habe. Ähhm, jedenfalls ist es besser wenn ich nicht so viel Zeit von dir raube."
"nighthree.phoneguy.linefour","Heut Nacht wird es Krank. Ähhm... hey, hör mal zu, ich habe eine Idee: Wenn du geschnappt wirst"
"nighthree.phoneguy.linefive","und du vermeiden möchtest in einen Freddy-Anzug gesteckt zu werden, ähhm, versuch Tod zu spielen! Du weißt, geh schlaff."
"nighthree.phoneguy.linesix","Dann gibt es eine Chance dass, ähhm, vielleicht denken sie dass du ein leerer Anzug bist."
"nighthree.phoneguy.lineseven","Dann warte, wenn sie denken dass du ein leerer Anzug bist, dann würden sie möglicherweise versuchen... Einen Metall-Endoskelett in dir reinzustopfen."
"nighthree.phoneguy.lineheight","Ich frag mich wie das funktionieren würde. Jaaa, vergiss es, lösch das. Am besten ist es einfach nicht geschnappt zu werden."
"nighthree.phoneguy.linenine","Ähhm... okay. Ich überlass das dir. Wir sehen uns auf der anderen Seite!"
"nightfour.phoneguy.lineone","Hallo, hallo? Hey! Hey, wow, Tag 4. Ich wusste du kannst es. Ähhm, hey, hör zu,"
"nightfour.phoneguy.linetwo","morgen werde ich vielleicht nicht da sein um eine Nachricht zu senden. *Klopfen* Es ist-Es ist bisher eine schlechte Nacht hier für mich."
"nightfour.phoneguy.linethree","Ähhm, I-Ich bin ganz schön froh dass ich meine Nachrichten für dich aufgenommen habe *räuspern* ähhm, als ich es getan habe."
"nightfour.phoneguy.linefour","Ähhm, hey, mach mir einen Gefallen. *Klopfen* Irgendwann mal vielleicht, ähhm, könntest du die Anzüge im Hinterzimmer prüfen?"
"nightfour.phoneguy.linefive","*Klopfen* Ich werde versuchen es auszuhalten bis irgendjemand checkt. Vielleicht wird es nicht so schlimm."
"nightfour.phoneguy.linesix","*Klopf Klopf* Ähhm, I-I-I-Ich hab mich schon immer gewundert was in all diesen leeren Köpfen dort hinten ist.*Glockenspiel spielt*."
"nightfour.phoneguy.lineseven","Du weißt... *Tiefes Stöhnen* oh, nein - *Geräusche, gefolgt von einem lauten Kreischen und Rauschen*"
"nightfive.phoneguy.lineone","erntet nur selten (Omitted: Lohn; Ihm genügt die) Freude, schöpferisch (Omitted: dienen.)"
"nightfive.phoneguy.linetwo","größeren Nutzen (Omitted: den Bose-Instrumenten) Künftige Gener- werden (Omitted: ationen. Der Wissenschaftler)"
"nightfive.phoneguy.linethree","was für eine Wirkung die verschiedenen Düngemittel auf das Wachstum der Pflanzen haben? Du hast ganz recht."
"nightfive.phoneguy.linefour","Könnte man nicht mit einigen Apparaten Laborversuche machen,"
"nightfive.phoneguy.linefive","(Omitted: Sir,) es ist schade, daß Eure wunderbaren Erfindungen (Omitted: nicht) vermehrt in der Landwirtschaft ausgewertet werden."
"mainmenu.video","Video"
"mainmenu.subtitles","Untertitel"
"mainmenu.panoramaeffectdescription","Panoramaeffekt aktivieren"
"mainmenu.subtitlesdescription","Untertitel aktivieren"
"mainmenu.yes","Ja"
"mainmenu.no","Nein"
