"source","target"
"nightone.phoneguy.linetwentyheight","L'únic que veuria el llum del dia seria possiblement els teus ulls"
"nightone.phoneguy.linetwentynine","i la teva dentadura quan s'expulsin per la part frontal de la màscara, heh."
"nightone.phoneguy.linethirty","S-Seh, no et diuen aquesta mena de coses quan fas el formulari. Però ei, el primer dia hauria de ser fàcil."
"nightone.phoneguy.linethirtyone","Et diré més demà. Mira les càmeres i recorda tancar les portes"
"nightone.phoneguy.linethirtytwo","únicament si t'és necessari. Un ha de mantenir l'energia. Vinga, bona nit."
"nighttwo.phoneguy.lineone","Ehh, hola? Hola? Ehm, d'acord, si escoltes això i ja vas per la segona jornada, eh, felicitacions!"
"nighttwo.phoneguy.linetwo","No-no parlaré massa aquest cop perquè en Freddy i els seus companys solen ser més actius cada nit que passa."
"nighttwo.phoneguy.linethree","Ehh, seria una bona idea comprovar les càmeres mentre parlo"
"nighttwo.phoneguy.linefour","per assegurar-te que tots estan on haurien d’estar. Ja saps..."
"nighttwo.phoneguy.linefive","Uh... de maneta interessant, el mateix Freddy no sol sortir de l’escenari sovint."
"nighttwo.phoneguy.linesix","He sentit que, però, es torna més actiu a la foscor, així que, ei,"
"nighttwo.phoneguy.lineseven","suposo que tenim una raó més per no esgotar l’energia, veritat?"
"nighttwo.phoneguy.lineheight","T-També vull emfatitzar l’importància d’usar els llums de les portes."
"nighttwo.phoneguy.linenine","Tens punts cecs a les vistes de les càmeres, i aquests punts cecs casualment són a fora de les portes."
"nighttwo.phoneguy.lineten","Així que si-si no trobes alguna cosa, o algú, a les càmeres, prova d'usar els llums."
"nighttwo.phoneguy.lineeleven","Eh, potser tens com a molt uns segons per reaccionar... no que estaries en algun perill, de veritat."
"nighttwo.phoneguy.linetwelve","No vull dir això. També, comprova les cortines de la Cova dels Pirates de tant en tant."
"nighttwo.phoneguy.linethirteen","L'animació electrònica d'allà és única en el fet que es torna més actiu com més temps tinguis les càmeres apagades."
"nighttwo.phoneguy.linefourteen","Suposo que no li agrada ser vist. No ho sé."
"nighttwo.phoneguy.linefifteen","De qualsevol forma, estic segur que tens tot sota control! Eh, fins després."
"nighthree.phoneguy.lineone","Hola, hola? Ei, ho fas molt bé! La majoria no arriben tant lluny."
"nighthree.phoneguy.linetwo","Sigui, ja saps, solen seguir endavant a altres coses. No vull implicar que han mort."
"nighthree.phoneguy.linethree","Ai-ai-això no és el que vull dir. Eh, ara, no hauria de prendre massa del teu temps."
"nighthree.phoneguy.linefour","Les coses es posen difícils aquesta nit. Ah... ei, escolta, tinc una idea: si resulta que t’atrapen"
"nighthree.phoneguy.linefive","i vols evitar quedar a dins d’una disfressa d’en Freddy, ehh, prova a fer-te el mort! Ja saps, no fes res."
"nighthree.phoneguy.linesix","I doncs n'hi ha la possibilitat de que, eh, potser pensen que ets una disfressa buida."
"nighthree.phoneguy.lineseven","I si pensen que ets una disfressa buida, potser intentaràn... ficar un esquèlet de metall al teu interior."
"nighthree.phoneguy.lineheight","Em pregunto com funcionaria això. Seh, oblida-ho, de veritat. És millor que no et descobreixin directament."
"nighthree.phoneguy.linenine","Em... val, et deixo en pau. Et veig després!"
"nightfour.phoneguy.lineone","Hola, hola? Ei! Ei, uau, dia 4. Sabia que tu podies fer-ho. Eh, ei, escolta,"
"nightfour.phoneguy.linetwo","potser no estaré per enviar-te un missatge demà. *golpejos* Ha-Ha sigut una mala nit per a mi."
"nightfour.phoneguy.linethree","Ah, e-estic agraït que hagi sigut capaç de gravar missatges per a tu *aclareix gola* eh; quan ho feia."
"nightfour.phoneguy.linefour","Eh, ei, fes-me un favor. *golpejos* Potser quan et vengui de gust, podries mirar dins de les disfresses al traster?"
"nightfour.phoneguy.linefive","*golpejos* I'm gonna to try to hold out until someone checks. Maybe it won't be so bad."
"nightfour.phoneguy.linesix","*bang bang* Eh, J-J-J-Jo sempre m’he preguntat que n’hi havia dins d’aquells caps buits. *cançoneta sona*."
"nightfour.phoneguy.lineseven","Ja saps... *gemec profund* oh, no- *sorolls seguits per un crit i estàtica*"
"nightfive.phoneguy.lineone","Rarament sap sobre (Omès: la recompensa) contemporània (Omès: ; n'hi ha prou amb posseir) l'alegria del (Omès: servei) creatiu."
"nightfive.phoneguy.linetwo","Incomptables usos (Omès: dels instruments Bose) seran descoberts per generacions futures. (Omès: El científic)"
"nightfive.phoneguy.linethree","per indicar la influència de diversos tipus de fertilitzants sobre el creixement de les plantes? Tens raó."
"nightfive.phoneguy.linefour","No seria fàcil empregar-ne alguns en experiments de laboratori ràpids"
"nightfive.phoneguy.linefive","(Omès: Senyor,) és lamentable que el desenvolupament agrícola massiu no sigui accelerat pel seu ús més complet dels seus meravellosos mecanismes."
"mainmenu.video","Vídeo"
"mainmenu.subtitles","Subtítols"
"mainmenu.panoramaeffectdescription","Habilita l'efecte de panorama"
"mainmenu.subtitlesdescription","Habilita els subtítols"
"mainmenu.yes","Sí"
"mainmenu.no","No"
