"source","target"
"nightfive.phoneguy.linetwo","Sayısız kullanım (Atlanmış: Bose enstrümanları) gelecekteki nesiller tarafından yapılacak- (Atlanmış: bilim insanı)"
"nightfive.phoneguy.linethree","çeşitli gübre türlerinin bitki büyümesi üzerindeki etkisini göstermek için mi? Haklısınız."
"nightfive.phoneguy.linefour","Onları hızlı laboratuvar deneylerinde kullanmak kolayca mümkün olmaz mıydı?"
"nightfive.phoneguy.linefive","(Atlanmış: Beyefendi,) üzülerek söylüyorum ki, kitle tarım gelişimi (Atlanmış: değil) mükemmel mekanizmalarınızın tam kullanımıyla hızlandırılmıyor."
"mainmenu.video","Video"
"mainmenu.subtitles","Altyazılar"
"mainmenu.panoramaeffectdescription","Panorama efektini etkinleştir"
"mainmenu.subtitlesdescription","Altyazıları etkinleştir"
"mainmenu.yes","Hayır"
"mainmenu.no","Evet"
